campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,net_profit,start_year,start_month,start_quarter,roi_category,conversion_category,cost_per_conversion,high_budget_flag,high_roi_flag
future-proofed local forecast,2023-08-01,2023-08-11,46775.63,16.42,webinar,B2B,referral,0.75,814672.28,767896.65,2023,8,3,High,Medium,0.07655533175458808,0,1
horizontal hybrid instruction set,2022-08-26,2024-07-24,48366.5,-0.15,social media,B2B,promotion,0.87,41004.95,-7361.550000000003,2022,8,3,Negative,High,1.3557796841825083,1,0
inverse contextually-based neural-net,2023-06-26,2024-01-28,84973.4,3.6,podcast,B2C,organic,0.16,390736.64,305763.24,2023,6,2,High,Very Low,1.359185946831093,1,1
polarized hybrid system engine,2023-02-15,2023-11-17,37344.7,11.41,email,B2C,organic,0.43,463541.48,426196.77999999997,2023,2,1,High,Low,0.18735785961352092,0,1
managed analyzing service-desk,2023-07-05,2023-10-09,14391.98,30.72,email,B2C,promotion,0.83,456537.4,442145.42000000004,2023,7,3,High,High,0.037980973606453784,0,1
seamless clear-thinking product,2022-11-18,2023-10-05,99838.63,-0.86,email,B2B,organic,0.18,14073.59,-85765.04000000001,2022,11,4,Negative,Very Low,39.41134106902045,1,0
networked local adapter,2022-10-17,2024-07-03,29076.12,31.61,social media,B2B,referral,0.1,948309.55,919233.43,2022,10,4,High,Very Low,0.30661000935823113,0,1
open-architected neutral open system,2023-04-19,2023-09-20,87963.28,10.3,podcast,B2B,promotion,0.57,993906.77,905943.49,2023,4,2,High,Medium,0.1552676252116173,1,1
secured optimal website,2023-05-25,2023-12-12,53935.8,16.77,social media,B2C,paid,0.4,958654.12,904718.32,2023,5,2,High,Low,0.14065500495632355,1,1
seamless zero-defect portal,2022-08-12,2024-07-19,71277.1,12.09,email,B2B,paid,0.56,932824.61,861547.51,2022,8,3,High,Medium,0.13644637410915403,1,1
configurable eco-centric capability,2022-10-02,2024-03-09,15968.2,25.93,social media,B2C,paid,0.15,430007.3,414039.1,2022,10,4,High,Very Low,0.24756478940396287,0,1
customizable directional paradigm,2023-01-20,2023-08-16,54468.41,15.97,social media,B2C,paid,0.7,924154.29,869685.88,2023,1,1,High,Medium,0.08419807723417513,1,1
cross-platform holistic encryption,2023-07-27,2024-02-15,29393.78,1.46,podcast,B2B,promotion,0.8,72323.84,42930.06,2023,7,3,High,Medium,0.5080237028343627,0,1
vision-oriented encompassing system engine,2022-11-24,2024-03-22,9147.79,3.6,email,B2B,referral,0.28,42048.95,32901.159999999996,2022,11,4,High,Low,0.7769677618924747,0,1
ergonomic next generation throughput,2022-12-16,2024-03-25,68801.22,6.01,social media,B2B,organic,0.65,482216.95,413415.73,2022,12,4,High,Medium,0.21950292450157707,1,1
vision-oriented 4thgeneration conglomeration,2023-01-18,2024-04-22,1309.17,207.71,podcast,B2C,organic,0.27,273231.88,271922.71,2023,1,1,High,Low,0.017746017696682312,0,1
ameliorated secondary data-warehouse,2023-04-29,2023-08-24,27168.6,24.94,social media,B2B,organic,0.1,704768.1,677599.5,2023,4,2,High,Very Low,0.38549701667825204,0,1
programmable executive workforce,2022-11-22,2024-07-01,39682.9,1.94,webinar,B2B,paid,0.7,116505.36,76822.45999999999,2022,11,4,High,Medium,0.486585828693694,0,1
cross-group user-facing application,2023-02-27,2024-01-06,89227.7,5.92,podcast,B2C,promotion,0.0,617379.96,528152.26,2023,2,1,High,Very Low,,1,1
secured systematic architecture,2022-11-26,2024-04-16,96917.97,4.9,podcast,B2C,promotion,0.39,571977.28,475059.31000000006,2022,11,4,High,Low,0.43447113036485535,1,1
seamless bifurcated firmware,2022-09-06,2023-12-12,28323.41,33.75,webinar,B2B,organic,0.9,984261.3,955937.89,2022,9,3,High,High,0.031973679708381865,0,1
intuitive directional website,2023-06-15,2024-01-07,63656.18,0.22,podcast,B2B,referral,0.4,77500.94,13844.760000000002,2023,6,2,Low,Low,2.0534002555323845,1,0
mandatory incremental throughput,2023-02-28,2024-07-01,69084.1,2.05,podcast,B2B,organic,0.98,210953.33,141869.22999999998,2023,2,1,High,High,0.3341686030357366,1,1
organic 24/7 secured line,2023-07-14,2023-10-06,65447.41,6.3,email,B2B,paid,0.26,477907.76,412460.35,2023,7,3,High,Low,0.5267142088094734,1,1
user-friendly analyzing moratorium,2023-04-06,2024-03-16,20328.53,31.37,email,B2B,organic,0.97,658107.7,637779.1699999999,2023,4,2,High,High,0.03184470782317304,0,1
programmable discrete intranet,2023-03-05,2024-02-13,8041.9,69.61,social media,B2B,paid,0.96,567808.35,559766.45,2023,3,1,High,High,0.014753180657992556,0,1
future-proofed empowering forecast,2022-12-11,2023-11-05,19030.69,23.81,webinar,B2C,promotion,0.75,472138.22,453107.52999999997,2022,12,4,High,Medium,0.053743273173972934,0,1
re-engineered solution-oriented core,2022-10-20,2024-02-11,6124.7,63.89,email,B2B,referral,0.67,397435.21,391310.51,2022,10,4,High,Medium,0.023000839013690023,0,1
diverse grid-enabled forecast,2022-11-18,2023-11-18,11271.19,46.76,social media,B2C,referral,0.81,538367.39,527096.2000000001,2022,11,4,High,High,0.02584675379895511,0,1
function-based motivating functionalities,2022-12-11,2024-03-18,28203.84,19.22,email,B2C,organic,0.24,570246.17,542042.3300000001,2022,12,4,High,Low,0.20607942005116844,0,1
user-centric holistic firmware,2022-08-06,2024-03-12,99957.15,3.31,webinar,B2C,referral,0.62,430498.24,330541.08999999997,2022,8,3,High,Medium,0.3744991145083877,1,1
virtual real-time architecture,2023-06-06,2023-12-25,27675.42,23.31,email,B2B,paid,0.1,672667.53,644992.11,2023,6,2,High,Very Low,0.41142791595723366,0,1
open-source 6thgeneration secured line,2023-03-07,2023-09-30,12480.75,66.93,podcast,B2B,promotion,0.82,847778.95,835298.2,2023,3,1,High,High,0.01795329646869422,0,1
reduced leadingedge architecture,2023-04-23,2024-06-06,84119.33,8.71,email,B2C,organic,0.64,816593.62,732474.29,2023,4,2,High,Medium,0.16095699244503037,1,1
fully-configurable 24/7 knowledgebase,2022-09-30,2024-01-20,6658.22,40.15,webinar,B2C,promotion,0.3,273952.77,267294.55000000005,2022,9,3,High,Low,0.08101420791133693,0,1
organic 4thgeneration neural-net,2022-10-29,2024-04-16,53826.21,11.7,podcast,B2B,promotion,0.2,683796.77,629970.56,2022,10,4,High,Very Low,0.3935833888188737,1,1
centralized 3rdgeneration budgetary management,2023-07-26,2023-08-11,85125.0,3.28,webinar,B2C,promotion,0.14,364648.39,279523.39,2023,7,3,High,Very Low,1.667457559008321,1,1
persevering web-enabled workforce,2023-06-23,2024-01-03,79220.8,-0.63,social media,B2C,paid,0.3,29575.48,-49645.32000000001,2023,6,2,Negative,Low,8.928657568138652,1,0
multi-channeled high-level interface,2023-04-06,2023-08-15,46560.5,9.5,social media,B2C,paid,0.85,489015.27,442454.77,2023,4,2,High,High,0.11201502730892107,0,1
re-contextualized high-level project,2023-07-13,2024-04-22,56850.62,5.74,social media,B2C,referral,0.98,383111.17,326260.55,2023,7,3,High,High,0.15142037423417826,1,1
right-sized tangible product,2022-11-09,2024-02-16,94856.15,1.99,email,B2B,referral,0.23,283711.16,188855.00999999998,2022,11,4,High,Low,1.4536546376189814,1,1
diverse leadingedge initiative,2022-10-17,2023-08-16,93383.63,7.03,email,B2B,promotion,0.76,749909.68,656526.05,2022,10,4,High,Medium,0.16385066181359473,1,1
intuitive transitional hardware,2023-02-25,2023-09-15,26183.57,15.41,social media,B2B,referral,0.26,429790.1,403606.52999999997,2023,2,1,High,Low,0.2343144676006694,0,1
diverse 6thgeneration superstructure,2022-08-05,2024-01-05,99128.36,7.6,email,B2B,promotion,0.78,852334.6,753206.24,2022,8,3,High,Medium,0.1491053408199562,1,1
enhanced 4thgeneration hierarchy,2022-08-06,2024-04-17,80647.64,9.81,webinar,B2B,referral,0.81,872159.47,791511.83,2022,8,3,High,High,0.11415915446554858,1,1
function-based systematic emulation,2023-03-02,2024-07-12,30883.42,27.28,social media,B2B,paid,0.37,873342.13,842458.71,2023,3,1,High,Low,0.0955738877531337,0,1
managed asymmetric array,2022-10-14,2024-07-06,24998.61,1.85,webinar,B2C,organic,0.39,71257.79,46259.17999999999,2022,10,4,High,Low,0.8995367383692366,0,1
enterprise-wide mission-critical utilization,2022-09-29,2023-09-05,64119.81,2.3,social media,B2B,promotion,0.93,211910.58,147790.77,2022,9,3,High,High,0.3253543653085396,1,1
adaptive clear-thinking methodology,2023-05-16,2024-03-21,60594.85,13.03,social media,B2C,paid,0.82,850376.61,789781.76,2023,5,2,High,High,0.08689815508517498,1,1
networked zero administration model,2022-11-01,2023-11-06,22411.36,3.57,webinar,B2C,organic,0.4,102385.82,79974.46,2022,11,4,High,Low,0.5472281220192404,0,1
seamless well-modulated open architecture,2022-08-28,2023-10-09,47906.32,17.2,webinar,B2B,promotion,0.45,871834.53,823928.2100000001,2022,8,3,High,Low,0.12210859426374049,1,1
exclusive radical installation,2022-08-09,2023-10-10,28548.76,5.34,email,B2C,promotion,0.6,181056.53,152507.77,2022,8,3,High,Medium,0.26279784919476074,0,1
intuitive bottom-line algorithm,2022-08-27,2024-05-06,44251.43,18.13,email,B2B,referral,0.16,846562.3,802310.87,2022,8,3,High,Very Low,0.32669944964475733,0,1
compatible stable extranet,2022-12-24,2023-11-13,32895.11,3.16,podcast,B2C,referral,0.1,136858.12,103963.01,2022,12,4,High,Very Low,2.4035921288411677,0,1
progressive secondary synergy,2022-11-08,2024-04-06,55985.9,8.03,social media,B2B,organic,0.59,505421.93,449436.02999999997,2022,11,4,High,Medium,0.18774681172264013,1,1
sharable next generation ability,2022-12-15,2024-02-19,23212.27,34.76,webinar,B2C,referral,0.49,830178.2,806965.9299999999,2022,12,4,High,Low,0.0570624229735697,0,1
devolved value-added support,2023-07-02,2024-02-13,42051.6,5.84,email,B2B,referral,0.25,287690.5,245638.9,2023,7,3,High,Low,0.5846783261873437,0,1
front-line full-range matrices,2022-08-04,2023-08-10,79829.52,4.92,email,B2B,paid,0.7,472828.97,392999.44999999995,2022,8,3,High,Medium,0.24119116776743066,1,1
grass-roots foreground firmware,2023-04-26,2024-04-21,96169.66,3.74,podcast,B2C,organic,0.45,455474.93,359305.27,2023,4,2,High,Low,0.46920333366219646,1,1
implemented reciprocal monitoring,2023-02-26,2024-06-19,72722.22,7.51,email,B2C,organic,0.1,619138.31,546416.0900000001,2023,2,1,High,Very Low,1.1745714782210779,1,1
reverse-engineered foreground approach,2023-02-22,2024-02-18,52125.2,-0.47,webinar,B2C,referral,0.8,27754.76,-24370.44,2023,2,1,Negative,Medium,2.347579298109585,1,0
open-source maximized projection,2023-03-23,2024-03-22,77340.13,3.49,webinar,B2B,referral,0.74,347402.29,270062.16,2023,3,1,High,Medium,0.30084340891704886,1,1
intuitive object-oriented moratorium,2022-12-18,2023-08-28,97763.51,1.5,webinar,B2C,promotion,0.7,244772.45,147008.94,2022,12,4,High,Medium,0.5705795613144254,1,1
virtual 4thgeneration graphical user interface,2023-07-27,2024-03-27,15463.29,61.29,social media,B2B,promotion,0.6,963251.51,947788.22,2023,7,3,High,Medium,0.02675536942578995,0,1
reactive multi-tasking extranet,2022-12-26,2023-08-25,51210.38,9.47,email,B2B,referral,0.83,536138.69,484928.30999999994,2022,12,4,High,High,0.11508076951515699,1,1
enhanced heuristic archive,2023-05-05,2023-09-26,16066.41,30.67,email,B2B,paid,0.3,508865.73,492799.32,2023,5,2,High,Low,0.10524328293831067,0,1
stand-alone bandwidth-monitored capability,2022-10-10,2024-03-29,89383.19,8.27,social media,B2C,referral,0.77,828963.15,739579.96,2022,10,4,High,Medium,0.1400328409472302,1,1
open-source coherent archive,2022-08-18,2024-06-11,46558.0,5.78,podcast,B2B,organic,0.4,315646.86,269088.86,2022,8,3,High,Low,0.368750698169467,0,1
future-proofed coherent core,2022-09-14,2024-05-08,62178.3,4.1,social media,B2C,paid,0.2,317338.48,255160.18,2022,9,3,High,Very Low,0.9796842160459079,1,1
decentralized radical emulation,2022-09-18,2024-04-23,20201.5,15.6,webinar,B2B,promotion,0.89,335385.42,315183.92,2022,9,3,High,High,0.06767829861757728,0,1
team-oriented content-based data-warehouse,2022-11-12,2024-01-15,43643.99,9.77,social media,B2C,organic,0.55,470023.84,426379.85000000003,2022,11,4,High,Medium,0.1688269877777031,0,1
expanded tangible capacity,2023-06-26,2024-05-07,20647.17,35.8,email,B2B,organic,0.78,759838.76,739191.59,2023,6,2,High,Medium,0.03483729991509089,0,1
secured methodical system engine,2023-05-30,2024-05-08,29781.93,18.07,webinar,B2C,paid,0.46,567832.12,538050.19,2023,5,2,High,Low,0.11401842869853245,0,1
synergistic well-modulated conglomeration,2023-04-23,2023-11-23,89003.41,6.23,podcast,B2C,referral,0.18,643537.76,554534.35,2023,4,2,High,Very Low,0.7683517885397881,1,1
programmable dedicated ability,2022-10-18,2024-03-26,34838.17,7.22,podcast,B2B,promotion,0.22,286374.76,251536.59000000003,2022,10,4,High,Low,0.5529653457651721,0,1
public-key dynamic synergy,2023-03-03,2023-11-16,8209.8,87.4,webinar,B2B,paid,0.78,725706.76,717496.96,2023,3,1,High,Medium,0.0145036331415524,0,1
synergistic actuating benchmark,2022-12-14,2023-08-20,13024.35,66.75,email,B2C,organic,0.99,882368.6,869344.25,2022,12,4,High,High,0.01490976570438827,0,1
optional client-driven approach,2022-12-30,2024-07-02,9180.95,9.14,webinar,B2C,organic,0.97,93102.44,83921.49,2022,12,4,High,High,0.10166110477036365,0,1
cloned exuding matrices,2023-06-03,2024-07-16,46215.77,6.06,email,B2C,paid,0.63,326486.31,280270.54,2023,6,2,High,Medium,0.22469047807660011,0,1
expanded zero tolerance adapter,2022-09-19,2024-05-07,80474.62,3.9,email,B2C,organic,0.7,394021.52,313546.9,2022,9,3,High,Medium,0.291770213101921,1,1
persistent incremental installation,2022-12-22,2024-01-27,12789.78,39.36,email,B2C,paid,0.4,516246.2,503456.42,2022,12,4,High,Low,0.0619364365297023,0,1
integrated full-range encoding,2023-06-18,2024-03-01,42818.39,17.18,email,B2B,promotion,0.14,778282.87,735464.48,2023,6,2,High,Very Low,0.3929749126524432,0,1
total system-worthy framework,2023-01-16,2023-08-10,77090.58,9.61,email,B2C,organic,0.1,818026.22,740935.64,2023,1,1,High,Very Low,0.9423974209530839,1,1
persistent disintermediate artificial intelligence,2023-01-23,2023-08-21,10659.15,46.53,email,B2B,promotion,0.84,506589.58,495930.43,2023,1,1,High,High,0.02504880634480142,0,1
self-enabling explicit interface,2023-01-23,2024-06-19,71211.28,7.82,email,B2B,referral,0.94,628222.4,557011.12,2023,1,1,High,High,0.12058895201932282,1,1
user-centric responsive software,2022-09-24,2023-08-04,55105.95,16.79,email,B2B,paid,0.65,980593.34,925487.39,2022,9,3,High,Medium,0.0864562109053123,1,1
enterprise-wide bottom-line forecast,2023-01-27,2024-01-26,22701.3,2.95,email,B2C,promotion,0.86,89740.19,67038.89,2023,1,1,High,High,0.294147588333792,0,1
upgradable transitional productivity,2022-12-25,2024-05-12,28460.11,19.87,social media,B2B,paid,0.37,593949.35,565489.24,2022,12,4,High,Low,0.12950467277422936,0,1
assimilated asynchronous project,2023-03-30,2024-06-25,81474.69,0.43,email,B2B,paid,0.98,116549.43,35074.73999999999,2023,3,1,Low,High,0.7133234265968543,1,0
reverse-engineered 4thgeneration alliance,2022-10-10,2023-12-12,99406.41,3.88,webinar,B2B,promotion,0.3,485297.93,385891.52,2022,10,4,High,Low,0.6827861392279173,1,1
networked bi-directional help-desk,2023-03-23,2023-09-24,89764.52,2.86,podcast,B2C,organic,0.8,346320.53,256556.01,2023,3,1,High,Medium,0.3239936425368718,1,1
diverse exuding superstructure,2022-09-07,2023-11-04,11769.71,12.18,webinar,B2B,paid,0.24,155142.36,143372.65,2022,9,3,High,Low,0.31609973145524756,0,1
organized directional service-desk,2022-10-17,2024-05-11,44085.8,1.01,webinar,B2B,referral,0.71,88806.24,44720.44,2022,10,4,High,Medium,0.6991927150202287,0,1
balanced 24hour intranet,2022-09-15,2024-04-11,31712.22,15.52,email,B2C,paid,0.12,523802.73,492090.51,2022,9,3,High,Very Low,0.5045191345222657,0,1
reactive well-modulated portal,2023-02-04,2023-09-02,34455.95,16.47,social media,B2B,organic,0.6,601996.12,567540.17,2023,2,1,High,Medium,0.09539361039957091,0,1
realigned intangible application,2023-07-06,2024-01-24,31468.43,3.68,email,B2B,promotion,0.48,147390.21,115921.78,2023,7,3,High,Low,0.44480043258413615,0,1
front-line web-enabled orchestration,2023-01-12,2024-06-13,89740.86,4.32,social media,B2C,paid,0.21,477285.33,387544.47000000003,2023,1,1,High,Low,0.8953500175071977,1,1
polarized upward-trending frame,2023-03-23,2024-05-23,6806.2,75.37,webinar,B2B,paid,0.78,519790.34,512984.14,2023,3,1,High,Medium,0.01678734051867419,0,1
persevering content-based archive,2022-12-27,2024-01-04,21795.27,17.24,social media,B2B,promotion,0.89,397630.37,375835.1,2022,12,4,High,High,0.06158751761272746,0,1
de-engineered content-based budgetary management,2022-09-10,2023-10-06,29328.34,2.16,social media,B2B,promotion,0.47,92788.7,63460.36,2022,9,3,High,Low,0.6725034773011727,0,1
inverse well-modulated forecast,2023-07-22,2024-07-11,7632.49,101.57,webinar,B2B,organic,0.62,782850.48,775217.99,2023,7,3,High,Medium,0.0157251838715555,0,1
progressive web-enabled concept,2022-11-16,2024-05-17,46890.76,4.52,webinar,B2B,organic,0.64,258942.95,212052.19,2022,11,4,High,Medium,0.282945770487283,0,1
visionary 4thgeneration help-desk,2022-11-23,2024-05-26,81853.53,10.91,webinar,B2C,referral,0.17,974972.63,893119.1,2022,11,4,High,Very Low,0.49385114835600713,1,1
up-sized attitude-oriented task-force,2023-07-02,2024-04-07,46635.4,13.85,social media,B2C,promotion,0.46,692709.3,646073.9,2023,7,3,High,Low,0.1463547614386382,0,1
sharable secondary migration,2023-04-04,2023-09-21,31531.6,16.48,webinar,B2C,referral,0.68,551172.95,519641.35,2023,4,2,High,Medium,0.08412967290938353,0,1
quality-focused methodical policy,2022-10-23,2023-10-10,51428.64,1.15,social media,B2C,referral,0.28,110819.1,59390.46000000001,2022,10,4,High,Low,1.657419292213294,1,1
distributed multimedia encryption,2022-08-16,2024-01-22,83726.63,4.47,webinar,B2B,organic,0.13,458296.26,374569.63,2022,8,3,High,Very Low,1.405315853984931,1,1
switchable user-facing archive,2022-10-22,2024-06-11,85417.27,4.97,webinar,B2C,referral,0.74,509606.8,424189.52999999997,2022,10,4,High,Medium,0.22650550040392564,1,1
virtual bottom-line parallelism,2022-08-16,2023-09-05,44082.14,19.48,email,B2C,organic,0.49,903002.29,858920.15,2022,8,3,High,Low,0.09962715711430604,0,1
customer-focused mobile graphic interface,2023-01-19,2023-11-21,61946.3,2.52,webinar,B2C,paid,0.85,217755.18,155808.88,2023,1,1,High,High,0.334678605578981,1,1
networked asynchronous standardization,2023-06-06,2024-01-06,50168.89,11.17,email,B2B,referral,0.67,610750.16,560581.27,2023,6,2,High,Medium,0.12260158932829007,1,1
persevering coherent concept,2022-09-15,2023-12-13,54331.15,17.27,social media,B2B,promotion,0.39,992544.71,938213.5599999999,2022,9,3,High,Low,0.1403570434883896,1,1
secured systemic groupware,2022-08-28,2023-10-17,72529.72,0.34,email,B2C,referral,0.24,97176.72,24647.0,2022,8,3,Low,Low,3.1098720626366756,1,0
team-oriented motivating productivity,2022-09-21,2023-09-06,40881.17,15.87,podcast,B2B,promotion,0.1,689581.23,648700.0599999999,2022,9,3,High,Very Low,0.5928405272863937,0,1
seamless exuding model,2022-11-20,2023-08-05,68885.7,1.35,webinar,B2B,organic,0.21,162090.83,93205.12999999999,2022,11,4,High,Low,2.02372424681361,1,1
cross-platform bandwidth-monitored model,2023-02-23,2023-09-16,48358.0,9.5,email,B2C,paid,0.39,507844.26,459486.26,2023,2,1,High,Low,0.2441592463698847,1,1
face-to-face high-level synergy,2022-08-15,2024-06-03,98289.74,7.26,webinar,B2B,paid,0.79,811980.83,713691.09,2022,8,3,High,Medium,0.15322700710195744,1,1
compatible eco-centric access,2022-08-24,2023-09-04,4016.62,191.46,social media,B2B,referral,0.99,773055.56,769038.9400000001,2022,8,3,High,High,0.005248253979561209,0,1
down-sized web-enabled data-warehouse,2023-04-08,2024-06-03,41419.79,5.98,social media,B2B,organic,0.35,289139.49,247719.69999999998,2023,4,2,High,Low,0.4092912287521056,0,1
streamlined non-volatile projection,2022-10-17,2024-01-19,52686.92,7.41,social media,B2B,organic,0.28,443069.55,390382.63,2022,10,4,High,Low,0.42469082208102865,1,1
synergized client-driven algorithm,2023-04-11,2023-12-05,16420.77,37.49,social media,B2C,organic,0.73,632069.31,615648.54,2023,4,2,High,Medium,0.03558819440142103,0,1
cross-platform composite matrix,2022-10-30,2024-02-25,46976.52,6.91,webinar,B2C,organic,0.85,371431.14,324454.62,2022,10,4,High,High,0.14879337827638,0,1
networked background utilization,2023-03-12,2024-05-19,91122.63,8.12,social media,B2C,organic,0.7,831243.27,740120.64,2023,3,1,High,Medium,0.15660299507060757,1,1
quality-focused composite challenge,2022-12-01,2024-01-28,4855.98,132.65,podcast,B2B,promotion,0.85,649003.16,644147.18,2022,12,4,High,High,0.008802603745502291,0,1
enhanced asymmetric open system,2023-04-08,2023-12-20,54503.83,0.45,social media,B2B,promotion,0.9,79089.3,24585.47,2023,4,2,Low,High,0.7657143395011854,1,0
innovative hybrid time-frame,2022-08-12,2023-12-21,12098.23,21.37,email,B2C,paid,0.44,270608.24,258510.00999999998,2022,8,3,High,Low,0.1016080562540419,0,1
re-engineered intangible intranet,2023-03-06,2024-03-15,14419.22,6.5,podcast,B2C,promotion,0.18,108083.4,93664.18,2023,3,1,High,Very Low,0.741157085896426,0,1
multi-channeled zero administration software,2023-01-09,2023-10-17,59892.4,14.7,email,B2B,promotion,0.66,940283.84,880391.44,2023,1,1,High,Medium,0.09650922066900629,1,1
universal national adapter,2022-11-28,2024-07-05,5197.61,10.76,social media,B2C,referral,0.78,61121.6,55923.99,2022,11,4,High,Medium,0.10902205708133564,0,1
centralized system-worthy knowledgebase,2022-09-16,2024-01-20,6310.87,132.96,email,B2C,paid,0.62,845412.79,839101.92,2022,9,3,High,Medium,0.012040062205168626,0,1
open-architected asymmetric time-frame,2023-03-25,2024-06-03,80612.13,0.4,podcast,B2C,promotion,0.97,112762.13,32150.0,2023,3,1,Low,High,0.7369964425095005,1,0
centralized leadingedge local area network,2023-01-31,2023-09-27,80358.87,0.4,webinar,B2B,organic,0.64,112718.32,32359.45000000001,2023,1,1,Low,Medium,1.1139336921895213,1,0
organized needs-based conglomeration,2022-10-19,2023-10-02,73855.23,1.91,social media,B2B,promotion,0.5,215072.47,141217.24,2022,10,4,High,Low,0.6867938978893952,1,1
optional secondary collaboration,2023-04-19,2024-02-28,63911.62,1.78,podcast,B2C,organic,0.49,177445.17,113533.55000000002,2023,4,2,High,Low,0.7350545385429224,1,1
synchronized client-driven challenge,2023-02-08,2023-08-22,50124.39,11.76,social media,B2B,paid,0.22,639517.42,589393.03,2023,2,1,High,Low,0.35626572355704766,1,1
enterprise-wide zero administration graphic interface,2022-11-24,2024-05-11,38086.24,16.97,podcast,B2C,paid,0.71,684590.46,646504.22,2022,11,4,High,Medium,0.07835719993716503,0,1
programmable local moratorium,2023-03-27,2023-08-15,48046.33,0.05,podcast,B2C,promotion,0.45,50534.85,2488.519999999997,2023,3,1,Low,Low,2.112791909389703,1,0
networked systematic attitude,2022-11-01,2023-10-02,63808.2,3.32,email,B2B,promotion,0.17,275542.3,211734.09999999998,2022,11,4,High,Very Low,1.362195034813807,1,1
